tweet_id,retweets,favorites,creation_time
771908950375665664,1780,6269,2016-09-03 03:13:29+00:00
771770456517009408,3190,11451,2016-09-02 18:03:10+00:00
771500966810099713,2450,7878,2016-09-02 00:12:18+00:00
771380798096281600,4753,10031,2016-09-01 16:14:48+00:00
771171053431250945,6978,0,2016-09-01 02:21:21+00:00
771136648247640064,2742,8724,2016-09-01 00:04:38+00:00
771102124360998913,1354,5943,2016-08-31 21:47:27+00:00
771014301343748096,1554,6572,2016-08-31 15:58:28+00:00
770787852854652928,1122,4693,2016-08-31 00:58:39+00:00
770772759874076672,1341,4945,2016-08-30 23:58:40+00:00
770655142660169732,1682,7011,2016-08-30 16:11:18+00:00
770414278348247044,1960,6032,2016-08-30 00:14:12+00:00
770293558247038976,1373,5914,2016-08-29 16:14:30+00:00
770093767776997377,2860,0,2016-08-29 03:00:36+00:00
770069151037685760,2148,7237,2016-08-29 01:22:47+00:00
769940425801170949,8958,29706,2016-08-28 16:51:16+00:00
769695466921623552,1582,6133,2016-08-28 00:37:54+00:00
769335591808995329,7237,0,2016-08-27 00:47:53+00:00
769212283578875904,1621,5135,2016-08-26 16:37:54+00:00
768970937022709760,6096,13570,2016-08-26 00:38:52+00:00
768909767477751808,2489,0,2016-08-25 20:35:48+00:00
768855141948723200,837,3992,2016-08-25 16:58:45+00:00
768609597686943744,1120,3907,2016-08-25 00:43:02+00:00
768596291618299904,1207,4804,2016-08-24 23:50:10+00:00
768554158521745409,5462,0,2016-08-24 21:02:45+00:00
768473857036525572,3209,12953,2016-08-24 15:43:39+00:00
768193404517830656,3316,10338,2016-08-23 21:09:14+00:00
767884188863397888,1278,4523,2016-08-23 00:40:31+00:00
767754930266464257,5036,15202,2016-08-22 16:06:54+00:00
767500508068192258,2182,7141,2016-08-21 23:15:55+00:00
767191397493538821,3523,11690,2016-08-21 02:47:37+00:00
767122157629476866,2689,9675,2016-08-20 22:12:29+00:00
766793450729734144,1274,4814,2016-08-20 00:26:19+00:00
766714921925144576,356,2488,2016-08-19 19:14:16+00:00
766693177336135680,743,3831,2016-08-19 17:47:52+00:00
766423258543644672,1471,5709,2016-08-18 23:55:18+00:00
766313316352462849,1763,6437,2016-08-18 16:38:26+00:00
766078092750233600,2456,0,2016-08-18 01:03:45+00:00
766069199026450432,792,4005,2016-08-18 00:28:24+00:00
766008592277377025,468,3591,2016-08-17 20:27:34+00:00
765719909049503744,2028,6895,2016-08-17 01:20:27+00:00
765669560888528897,1153,4929,2016-08-16 22:00:23+00:00
765395769549590528,3164,25458,2016-08-16 03:52:26+00:00
765371061932261376,2037,6757,2016-08-16 02:14:15+00:00
765222098633691136,3169,11060,2016-08-15 16:22:20+00:00
764857477905154048,1667,6150,2016-08-14 16:13:27+00:00
764259802650378240,1416,5726,2016-08-13 00:38:30+00:00
763956972077010945,50,738,2016-08-12 04:35:10+00:00
763837565564780549,3875,11934,2016-08-11 20:40:41+00:00
763183847194451968,1390,5120,2016-08-10 01:23:03+00:00
763167063695355904,2805,0,2016-08-10 00:16:21+00:00
763103485927849985,2157,7022,2016-08-09 20:03:43+00:00
762699858130116608,3370,11525,2016-08-08 17:19:51+00:00
762471784394268675,5998,10653,2016-08-08 02:13:34+00:00
762464539388485633,3900,9774,2016-08-08 01:44:46+00:00
762316489655476224,1038,4558,2016-08-07 15:56:28+00:00
762035686371364864,14511,30168,2016-08-06 21:20:40+00:00
761976711479193600,1861,5130,2016-08-06 17:26:19+00:00
761750502866649088,3634,0,2016-08-06 02:27:27+00:00
761745352076779520,810,4076,2016-08-06 02:06:59+00:00
761672994376806400,27165,46875,2016-08-05 21:19:27+00:00
761599872357261312,1113,3937,2016-08-05 16:28:54+00:00
761371037149827077,16923,0,2016-08-05 01:19:35+00:00
761334018830917632,1361,4914,2016-08-04 22:52:29+00:00
761292947749015552,1023,4267,2016-08-04 20:09:17+00:00
761227390836215808,1473,5066,2016-08-04 15:48:47+00:00
761004547850530816,3259,10785,2016-08-04 01:03:17+00:00
760893934457552897,905,3623,2016-08-03 17:43:45+00:00
760656994973933572,1777,6249,2016-08-03 02:02:14+00:00
760641137271070720,1204,4743,2016-08-03 00:59:13+00:00
760539183865880579,3385,7183,2016-08-02 18:14:06+00:00
760521673607086080,1302,3978,2016-08-02 17:04:31+00:00
760290219849637889,10728,25440,2016-08-02 01:44:48+00:00
760252756032651264,811,3753,2016-08-01 23:15:56+00:00
760190180481531904,1676,5428,2016-08-01 19:07:17+00:00
760153949710192640,30,0,2016-08-01 16:43:19+00:00
